Symbol,Interval,RSI_Set,SL_TP,Return%,Trades,WinRate
OP,4h,30/70,5%/10%,5.886796221728013,12,41.66666666666667
OP,4h,30/70,3%/6%,5.8786806497849735,12,41.66666666666667
OP,15m,45/55,5%/10%,5.822110051394043,13,38.46153846153847
BTC,15m,35/65,2%/4%,5.745428702816412,12,41.66666666666667
ETH,1h,45/55,3%/6%,5.579033218134804,54,37.03703703703704
BTC,1h,40/60,3%/6%,5.402452043571817,29,37.93103448275862
MATIC,1h,40/60,1%/2%,5.366788509196862,67,41.7910447761194
OP,1h,45/55,2%/4%,5.321207756639114,81,38.2716049382716
DOGE,15m,35/65,1%/2%,5.095420698675321,26,42.30769230769231
ETH,4h,35/65,2%/4%,5.050084573134723,42,38.095238095238095
OP,1h,30/70,2%/6%,4.9891160351716275,11,36.36363636363637
DOGE,4h,30/70,2%/4%,4.856410616052858,14,50.0
ARB,15m,45/55,1%/2%,4.848859201914093,74,39.189189189189186
OP,1h,35/65,1%/2%,4.724611147779979,26,42.30769230769231
SOL,1h,30/70,1%/2%,4.673677591376395,19,47.368421052631575
DOGE,15m,30/70,1%/2%,4.582577893909343,11,45.45454545454545
ETH,15m,30/70,5%/10%,4.581487098103343,5,40.0
SUI,15m,45/55,5%/10%,4.512874658062993,13,38.46153846153847
BNB,15m,35/65,5%/10%,4.440740691988617,5,40.0
SOL,4h,30/70,1%/2%,4.413390556055515,23,47.82608695652174
LINK,1h,40/60,2%/4%,4.255020636446853,62,35.483870967741936
MATIC,4h,45/55,1%/2%,4.1191664482016455,23,47.82608695652174
OP,4h,30/70,2%/4%,4.091356791977023,12,41.66666666666667
ARB,4h,30/70,1%/2%,4.0585365378859475,14,42.857142857142854
ETH,4h,45/55,2%/4%,3.70313226143885,85,38.82352941176471
BNB,15m,30/70,3%/6%,3.43890127232753,5,40.0
SOL,1h,30/70,3%/6%,3.233197655774757,16,37.5
ARB,1h,35/65,2%/4%,3.212269332820256,33,39.39393939393939
BNB,15m,30/70,5%/10%,3.2009154826184614,5,40.0
BNB,4h,35/65,5%/10%,3.13721769751744,21,38.095238095238095
BNB,15m,30/70,1%/2%,3.1220372911687946,11,45.45454545454545
MATIC,15m,30/70,1%/2%,2.769081088944586,19,42.10526315789473
LINK,15m,30/70,1%/2%,2.68623782340253,9,44.44444444444444
BTC,1h,30/70,2%/4%,2.6726513154070064,18,38.88888888888889
ARB,4h,40/60,2%/6%,2.6424583008065152,59,32.20338983050847
BTC,15m,40/60,2%/4%,2.5814393481471827,16,37.5
BNB,4h,30/70,1%/2%,2.5776555882847787,12,50.0
ARB,4h,30/70,2%/4%,2.2782836802185558,13,38.46153846153847
SUI,1h,30/70,5%/10%,2.0975318535761174,15,33.33333333333333
BTC,4h,45/55,2%/4%,2.0966101498182868,85,37.64705882352941
BNB,15m,35/65,1%/2%,2.091404369835698,17,41.17647058823529
BTC,15m,35/65,2%/6%,2.0771035517772134,10,30.0
BNB,15m,30/70,2%/6%,1.9499890291452742,6,33.33333333333333
MATIC,15m,40/60,1%/2%,1.8687622515531304,56,37.5
SUI,15m,35/65,1%/2%,1.821114843761984,17,41.17647058823529
ETH,4h,35/65,1%/2%,1.8006518065289925,44,40.909090909090914
MATIC,4h,40/60,1%/2%,1.636341525844182,16,43.75
BTC,15m,30/70,1%/2%,1.5832886155524306,6,50.0
LINK,15m,45/55,2%/4%,1.5014408999725788,25,36.0
MATIC,1h,40/60,3%/6%,1.4850611068299373,47,36.17021276595745
BNB,15m,45/55,3%/6%,1.422628230336511,11,36.36363636363637
DOGE,15m,30/70,2%/4%,1.2664402383833702,11,36.36363636363637
MATIC,1h,30/70,1%/2%,1.2531076169486595,12,41.66666666666667
OP,1h,35/65,5%/10%,1.1394033897328653,21,38.095238095238095
BTC,4h,35/65,5%/10%,1.0799929216821964,27,37.03703703703704
LINK,15m,35/65,1%/2%,1.0491275911145637,17,35.294117647058826
MATIC,15m,40/60,2%/6%,1.0122163703436284,26,26.923076923076923
LINK,15m,40/60,1%/2%,1.0042769417751856,36,36.11111111111111
OP,1h,30/70,1%/2%,0.9603436650106687,11,36.36363636363637
BTC,15m,35/65,1%/2%,0.9193839122801593,15,40.0
BNB,15m,45/55,2%/6%,0.8596660323742527,13,30.76923076923077
OP,4h,30/70,1%/2%,0.8340358103333415,12,50.0
SOL,1h,40/60,1%/2%,0.7535731131471266,66,39.39393939393939
ARB,1h,40/60,2%/6%,0.7278998836333358,53,28.30188679245283
DOGE,15m,40/60,1%/2%,0.4245189294746524,44,36.36363636363637
OP,4h,45/55,2%/4%,0.3866511125662555,69,39.130434782608695
LINK,15m,40/60,2%/4%,0.3446889719033379,22,36.36363636363637
BNB,15m,40/60,1%/2%,0.3328545000609097,31,38.70967741935484
SUI,15m,40/60,2%/6%,0.14227766684439302,26,26.923076923076923
DOGE,1h,40/60,5%/10%,0.11602889505563779,35,37.142857142857146
SUI,15m,30/70,2%/4%,0.024815288443517148,8,37.5
OP,1h,30/70,3%/6%,0.005657908753823903,11,36.36363636363637
BNB,1h,30/70,2%/6%,-0.0892190840351077,27,29.629629629629626
BTC,1h,35/65,3%/6%,-0.1736244192700042,25,36.0
MATIC,4h,30/70,1%/2%,-0.2247473921428764,3,33.33333333333333
OP,15m,35/65,2%/4%,-0.29537722002883127,19,36.84210526315789
DOGE,15m,45/55,1%/2%,-0.32947887773391354,57,35.08771929824561
ETH,15m,30/70,2%/6%,-0.3727622762760802,10,30.0
MATIC,15m,35/65,1%/2%,-0.4893768404709931,33,36.36363636363637
LINK,1h,40/60,2%/6%,-0.614920380309627,60,26.666666666666668
BTC,15m,40/60,5%/10%,-0.7515122251380717,5,40.0
DOGE,15m,30/70,5%/10%,-0.7615591178572573,6,33.33333333333333
LINK,1h,45/55,2%/6%,-0.8872420417724243,75,28.000000000000004
MATIC,1h,35/65,2%/4%,-0.914765219229946,31,35.483870967741936
BTC,15m,30/70,2%/4%,-0.9938459722124547,6,33.33333333333333
SOL,4h,45/55,2%/6%,-0.9939046410407628,79,32.91139240506329
LINK,1h,45/55,3%/6%,-1.0173837943767012,64,35.9375
OP,4h,40/60,1%/2%,-1.1218098992232854,41,46.34146341463415
MATIC,15m,35/65,2%/4%,-1.1566302410581784,26,34.61538461538461
SUI,15m,40/60,1%/2%,-1.265713478511975,42,38.095238095238095
BNB,15m,40/60,5%/10%,-1.2841599383546394,6,33.33333333333333
DOGE,1h,40/60,1%/2%,-1.3649937169753572,55,40.0
MATIC,4h,35/65,1%/2%,-1.4621508577564213,9,33.33333333333333
BNB,4h,35/65,1%/2%,-1.5011830820393697,28,42.857142857142854
DOGE,4h,30/70,5%/10%,-1.5257003058463625,13,38.46153846153847
BTC,15m,45/55,3%/6%,-1.5655912443596889,11,36.36363636363637
ARB,4h,45/55,1%/2%,-1.8164982000628813,93,40.86021505376344
SUI,15m,30/70,1%/2%,-1.8244216064689682,9,33.33333333333333
ARB,1h,35/65,5%/10%,-2.2032566842391814,22,36.36363636363637
BNB,15m,30/70,2%/4%,-2.2942399784872234,9,33.33333333333333
BTC,15m,45/55,2%/6%,-2.35787570919573,15,26.666666666666668
ETH,4h,35/65,3%/6%,-2.420441720232316,40,40.0
BTC,1h,40/60,5%/10%,-2.470272832393027,14,35.714285714285715
BTC,15m,40/60,1%/2%,-2.4733388463761683,26,34.61538461538461
DOGE,15m,40/60,5%/10%,-2.474894576342388,11,36.36363636363637
